"","lon","lat","id"
"276",-70.75,7.75,"World"
"277",-62.25,6.75,"World"
"278",-61.75,8.25,"World"
"279",-67.75,9.25,"World"
"280",-65.75,8.75,"World"
"281",-61.25,7.75,"World"
"282",-66.25,7.75,"World"
"283",-64.75,5.25,"World"
"284",-66.25,10.25,"World"
"285",-62.25,7.25,"World"
"286",-61.75,9.75,"World"
"287",-68.75,10.25,"World"
"288",-68.25,10.25,"World"
"289",-62.75,7.75,"World"
"290",-69.25,10.75,"World"
"291",-61.25,6.75,"World"
"292",-62.25,8.25,"World"
"293",-70.25,11.75,"World"
"294",-66.75,6.75,"World"
"295",-66.25,6.25,"World"
"296",-60.75,7.75,"World"
"297",-68.25,6.25,"World"
"298",-66.25,8.75,"World"
"299",-65.75,8.25,"World"
"300",-68.25,6.75,"World"
"301",-64.25,6.25,"World"
"302",-64.75,6.25,"World"
"303",-64.25,3.25,"World"
"304",-69.25,6.75,"World"
"305",-67.25,9.75,"World"
"306",-69.75,11.25,"World"
"307",-70.75,9.75,"World"
"308",-64.75,7.75,"World"
"309",-69.25,9.25,"World"
"310",-66.75,9.25,"World"
"311",-60.75,8.25,"World"
"312",-65.75,1.25,"World"
"313",-67.25,4.75,"World"
"314",-65.75,4.25,"World"
"315",-66.75,4.25,"World"
"316",-72.75,9.75,"World"
"317",-63.75,7.25,"World"
"318",-68.25,10.75,"World"
"319",-68.75,9.75,"World"
"320",-64.75,8.25,"World"
"321",-62.25,5.75,"World"
"322",-64.25,5.25,"World"
"323",-65.25,2.25,"World"
"324",-62.25,4.75,"World"
"325",-67.75,5.25,"World"
"326",-67.25,5.25,"World"
"327",-61.75,4.75,"World"
"328",-67.25,10.25,"World"
"329",-70.25,10.25,"World"
"330",-69.75,10.75,"World"
"331",-70.25,9.75,"World"
"332",-66.75,8.75,"World"
"333",-68.75,11.25,"World"
"334",-67.75,4.25,"World"
"335",-63.25,5.75,"World"
"336",-64.25,2.75,"World"
"337",-61.75,7.75,"World"
"338",-67.25,6.75,"World"
"339",-65.25,6.25,"World"
