"","lon","lat","id"
"246",-63.25,7.25,"lowlat"
"247",-61.25,7.25,"lowlat"
"248",-66.75,9.75,"lowlat"
"249",-70.25,10.75,"lowlat"
"250",-70.75,10.75,"lowlat"
"251",-61.25,9.25,"lowlat"
"252",-62.25,8.75,"lowlat"
"253",-61.75,8.75,"lowlat"
"254",-64.75,8.75,"lowlat"
"255",-67.25,8.75,"lowlat"
"256",-68.75,8.75,"lowlat"
"257",-61.75,5.75,"lowlat"
"258",-70.25,8.75,"lowlat"
"259",-64.75,3.25,"lowlat"
"260",-66.25,3.25,"lowlat"
"261",-69.75,6.75,"lowlat"
"262",-61.25,5.75,"lowlat"
"263",-65.25,8.75,"lowlat"
"264",-73.25,9.25,"lowlat"
"265",-69.75,7.25,"lowlat"
"266",-63.25,8.75,"lowlat"
"267",-67.25,4.25,"lowlat"
"268",-65.25,7.75,"lowlat"
"269",-62.75,8.75,"lowlat"
"270",-65.25,3.75,"lowlat"
"271",-65.25,1.25,"lowlat"
"272",-62.75,3.75,"lowlat"
"273",-67.75,4.75,"lowlat"
"274",-61.25,8.75,"lowlat"
"275",-62.75,6.75,"lowlat"
"276",-70.75,7.75,"lowlat"
"277",-62.25,6.75,"lowlat"
"278",-61.75,8.25,"lowlat"
"279",-67.75,9.25,"lowlat"
"280",-65.75,8.75,"lowlat"
"281",-61.25,7.75,"lowlat"
"282",-66.25,7.75,"lowlat"
"283",-64.75,5.25,"lowlat"
"284",-66.25,10.25,"lowlat"
"285",-62.25,7.25,"lowlat"
"286",-61.75,9.75,"lowlat"
"287",-68.75,10.25,"lowlat"
"288",-68.25,10.25,"lowlat"
"289",-62.75,7.75,"lowlat"
"290",-69.25,10.75,"lowlat"
"291",-61.25,6.75,"lowlat"
"292",-62.25,8.25,"lowlat"
"293",-70.25,11.75,"lowlat"
"294",-66.75,6.75,"lowlat"
"295",-66.25,6.25,"lowlat"
"296",-60.75,7.75,"lowlat"
"297",-68.25,6.25,"lowlat"
"298",-66.25,8.75,"lowlat"
"299",-65.75,8.25,"lowlat"
"300",-68.25,6.75,"lowlat"
"301",-64.25,6.25,"lowlat"
"302",-64.75,6.25,"lowlat"
"303",-64.25,3.25,"lowlat"
"304",-69.25,6.75,"lowlat"
"305",-67.25,9.75,"lowlat"
"306",-69.75,11.25,"lowlat"
"307",-70.75,9.75,"lowlat"
"308",-64.75,7.75,"lowlat"
"309",-69.25,9.25,"lowlat"
"310",-66.75,9.25,"lowlat"
"311",-60.75,8.25,"lowlat"
"312",-65.75,1.25,"lowlat"
"313",-67.25,4.75,"lowlat"
"314",-65.75,4.25,"lowlat"
"315",-66.75,4.25,"lowlat"
"316",-72.75,9.75,"lowlat"
"317",-63.75,7.25,"lowlat"
"318",-68.25,10.75,"lowlat"
"319",-68.75,9.75,"lowlat"
"320",-64.75,8.25,"lowlat"
"321",-62.25,5.75,"lowlat"
"322",-64.25,5.25,"lowlat"
"323",-65.25,2.25,"lowlat"
"324",-62.25,4.75,"lowlat"
"325",-67.75,5.25,"lowlat"
"326",-67.25,5.25,"lowlat"
"327",-61.75,4.75,"lowlat"
"328",-67.25,10.25,"lowlat"
"329",-70.25,10.25,"lowlat"
"330",-69.75,10.75,"lowlat"
"331",-70.25,9.75,"lowlat"
"332",-66.75,8.75,"lowlat"
"333",-68.75,11.25,"lowlat"
"334",-67.75,4.25,"lowlat"
"335",-63.25,5.75,"lowlat"
"336",-64.25,2.75,"lowlat"
"337",-61.75,7.75,"lowlat"
"338",-67.25,6.75,"lowlat"
"339",-65.25,6.25,"lowlat"
"340",-69.25,11.25,"lowlat"
"341",-70.25,11.25,"lowlat"
"342",-66.75,3.75,"lowlat"
"343",-63.25,6.25,"lowlat"
"344",-63.75,7.75,"lowlat"
"345",-71.25,7.75,"lowlat"
"346",-62.25,9.25,"lowlat"
"347",-68.25,9.75,"lowlat"
"348",-65.75,5.25,"lowlat"
"349",-67.25,3.75,"lowlat"
"350",-70.75,9.25,"lowlat"
"351",-68.25,9.25,"lowlat"
"352",-63.75,8.75,"lowlat"
"353",-64.75,3.75,"lowlat"
"354",-65.25,4.25,"lowlat"
"355",-67.25,2.75,"lowlat"
"356",-64.25,4.75,"lowlat"
"357",-72.25,10.25,"lowlat"
"358",-72.25,10.75,"lowlat"
"359",-71.75,10.75,"lowlat"
"360",-65.75,6.25,"lowlat"
"361",-66.25,8.25,"lowlat"
"362",-63.25,4.75,"lowlat"
"363",-63.25,4.25,"lowlat"
"364",-66.75,10.25,"lowlat"
"365",-62.25,9.75,"lowlat"
"366",-69.25,10.25,"lowlat"
"367",-67.75,10.25,"lowlat"
"368",-66.25,3.75,"lowlat"
"369",-69.75,10.25,"lowlat"
"370",-66.75,1.25,"lowlat"
"371",-64.25,7.25,"lowlat"
"372",-62.75,9.25,"lowlat"
"373",-65.75,9.75,"lowlat"
"374",-67.75,9.75,"lowlat"
"375",-72.25,8.75,"lowlat"
"376",-61.25,5.25,"lowlat"
"377",-71.25,10.75,"lowlat"
"378",-67.25,6.25,"lowlat"
"379",-65.25,3.25,"lowlat"
"380",-66.75,3.25,"lowlat"
"381",-63.25,9.75,"lowlat"
"382",-64.25,1.75,"lowlat"
"383",-64.75,2.25,"lowlat"
"384",-62.75,10.25,"lowlat"
"385",-68.75,8.25,"lowlat"
"386",-71.25,8.75,"lowlat"
"387",-63.75,2.25,"lowlat"
"388",-72.25,9.75,"lowlat"
"389",-65.75,2.25,"lowlat"
"390",-61.25,8.25,"lowlat"
"391",-66.25,2.25,"lowlat"
"392",-66.25,1.25,"lowlat"
"393",-66.75,1.75,"lowlat"
"394",-62.75,9.75,"lowlat"
"395",-65.75,3.75,"lowlat"
"396",-67.25,5.75,"lowlat"
"397",-72.75,10.25,"lowlat"
"398",-65.75,1.75,"lowlat"
"399",-63.25,10.25,"lowlat"
"400",-64.25,4.25,"lowlat"
"401",-68.75,10.75,"lowlat"
"402",-64.75,5.75,"lowlat"
"403",-65.25,1.75,"lowlat"
"404",-68.75,6.25,"lowlat"
"405",-62.75,4.75,"lowlat"
"406",-62.75,4.25,"lowlat"
"407",-65.75,3.25,"lowlat"
"408",-66.75,2.25,"lowlat"
"409",-67.25,3.25,"lowlat"
"410",-62.25,4.25,"lowlat"
"411",-65.75,2.75,"lowlat"
"412",-66.25,4.25,"lowlat"
"413",-64.25,5.75,"lowlat"
"414",-70.25,8.25,"lowlat"
"415",-66.25,1.75,"lowlat"
"416",-63.75,5.75,"lowlat"
"417",-61.75,4.25,"lowlat"
"418",-69.25,6.25,"lowlat"
"419",-66.75,6.25,"lowlat"
"420",-61.25,4.75,"lowlat"
"421",-71.25,10.25,"lowlat"
"422",-63.75,10.25,"lowlat"
"423",-66.75,5.75,"lowlat"
"424",-71.75,8.75,"lowlat"
"425",-63.75,4.25,"lowlat"
"426",-70.75,8.25,"lowlat"
"427",-69.25,8.25,"lowlat"
"428",-63.75,9.75,"lowlat"
"429",-65.75,5.75,"lowlat"
"430",-62.75,5.75,"lowlat"
